#{"t_start": 1617717289.8585134, "env_id": "ur5e_reacher-v10"}
r,l,t
-20.0,1000,11.004178
80.2,1000,35.600506
-20.0,1000,104.107096
-9.98,1000,128.242745
-20.0,1000,191.999648
-20.0,1000,214.961385
-20.0,1000,285.666616
-20.0,1000,309.594014
0.04,1000,378.840077
-20.0,1000,403.114312
-20.0,1000,459.956517
-20.0,1000,487.544552
-9.98,1000,552.057129
-20.0,1000,576.014392
-20.0,1000,638.276558
-20.0,1000,662.686282
-20.0,1000,724.504685
20.08,1000,747.569404
-9.98,1000,811.723355
180.4,1000,837.171817
-20.0,1000,901.089061
-20.0,1000,925.005148
-9.98,1000,993.346244
-20.0,1000,1017.240109
-20.0,1000,1072.015423
-20.0,1000,1096.441076
-20.0,1000,1166.77881
0.04,1000,1189.889422
-9.98,1000,1258.828724
-20.0,1000,1282.51153
-20.0,1000,1344.214803
-9.98,1000,1368.963972
-9.98,1000,1436.739822
-20.0,1000,1460.051564
-9.98,1000,1521.051722
-20.0,1000,1544.417156
-9.98,1000,1601.39343
10.06,1000,1626.372939
20.08,1000,1691.298107
130.3,1000,1714.661529
-20.0,1000,1778.153483
-20.0,1000,1805.010768
-9.98,1000,1865.170855
-20.0,1000,1889.391522
-20.0,1000,1949.030615
-20.0,1000,1969.835649
-20.0,1000,2027.409376
70.18,1000,2053.664957
30.1,1000,2115.997613
-9.98,1000,2138.808099
10.06,1000,2195.567464
-20.0,1000,2219.616254
-20.0,1000,2280.591436
0.04,1000,2307.321156
-20.0,1000,2368.553647
-9.98,1000,2392.719914
-9.98,1000,2458.564037
-20.0,1000,2482.849749
-20.0,1000,2546.203455
0.04,1000,2568.326878
-20.0,1000,2626.113143
0.04,1000,2649.709065
-20.0,1000,2710.888382
10.06,1000,2737.269625
110.26,1000,2804.4853
-20.0,1000,2830.970317
40.12,1000,2898.892375
-20.0,1000,2927.267846
-9.98,1000,2997.791851
-20.0,1000,3021.863036
-9.98,1000,3089.178912
-20.0,1000,3116.78898
-9.98,1000,3181.025119
-20.0,1000,3207.183559
-20.0,1000,3270.552818
-20.0,1000,3296.314659
-20.0,1000,3354.431317
20.08,1000,3382.807077
-20.0,1000,3446.802159
-20.0,1000,3478.651766
-20.0,1000,3542.552934
20.08,1000,3571.578201
-9.98,1000,3638.471778
-9.98,1000,3666.015861
0.04,1000,3730.434316
-20.0,1000,3758.578181
-20.0,1000,3830.696827
0.04,1000,3860.096206
10.06,1000,3924.178666
-20.0,1000,3955.502979
-20.0,1000,4017.277246
-20.0,1000,4047.383926
-20.0,1000,4115.506898
20.08,1000,4144.960885
-20.0,1000,4220.44133
-9.98,1000,4251.031473
-20.0,1000,4322.539315
-9.98,1000,4352.385973
-20.0,1000,4419.815223
-20.0,1000,4451.475568
-20.0,1000,4518.163589
0.04,1000,4548.394727
-20.0,1000,4612.057262
-20.0,1000,4638.653758
-9.98,1000,4702.330786
-20.0,1000,4736.22602
-20.0,1000,4807.365488
-20.0,1000,4838.924278
-20.0,1000,4919.110781
-20.0,1000,4950.25023
-20.0,1000,5019.711224
140.32,1000,5049.429086
-20.0,1000,5124.561027
-20.0,1000,5156.155959
-20.0,1000,5223.476357
-20.0,1000,5251.813548
180.4,1000,5323.873319
-9.98,1000,5353.771373
50.14,1000,5420.728241
-20.0,1000,5449.070889
-9.98,1000,5521.137083
-20.0,1000,5549.421635
20.08,1000,5614.389409
-20.0,1000,5644.466127
-20.0,1000,5715.092946
100.24,1000,5747.012538
-20.0,1000,5817.701149
-20.0,1000,5853.575665
-9.98,1000,5924.082489
0.04,1000,5954.507224
-20.0,1000,6026.257812
180.4,1000,6059.657191
-20.0,1000,6134.153891
40.12,1000,6166.612919
10.06,1000,6232.942007
10.06,1000,6263.437226
0.04,1000,6336.005128
-9.98,1000,6365.192138
-20.0,1000,6440.002077
