#{"t_start": 1615872500.0868452, "env_id": "ur5e_reacher-v1"}
r,l,t
-96.0,4800,26.499583
-94.98,4800,102.367282
-96.0,4800,179.240572
-96.0,4800,252.950742
-96.0,4800,326.454986
-96.0,4800,402.847203
-93.96,4800,472.124919
-96.0,4800,544.834143
-96.0,4800,624.319723
-96.0,4800,698.150465
-96.0,4800,776.974257
-93.96,4800,855.039526
-96.0,4800,933.62296
-96.0,4800,1018.389498
-94.98,4800,1090.271247
-96.0,4800,1168.777465
-92.94,4800,1246.492719
-96.0,4800,1329.690642
-96.0,4800,1404.021598
-96.0,4800,1479.355113
-96.0,4800,1557.217402
-93.96,4800,1651.644979
-96.0,4800,1727.505898
-96.0,4800,1806.504498
-96.0,4800,1882.804993
62.1,4800,1959.312769
-96.0,4800,2033.793322
-96.0,4800,2114.628832
-96.0,4800,2190.34636
-89.88,4800,2269.570383
-96.0,4800,2347.234841
-94.98,4800,2424.133101
-80.7,4800,2507.355821
-96.0,4800,2588.34782
-92.94,4800,2668.047652
-96.0,4800,2744.656108
-96.0,4800,2821.187256
-88.86,4800,2898.138093
-94.98,4800,2972.132611
-94.98,4800,3055.346248
-94.98,4800,3129.925148
-54.18,4800,3208.33027
-93.96,4800,3283.017484
-92.94,4800,3361.278907
-96.0,4800,3444.809663
-88.86,4800,3522.048604
-96.0,4800,3596.716411
-96.0,4800,3676.871243
-96.0,4800,3760.201832
-94.98,4800,3843.848591
-96.0,4800,3922.352083
-96.0,4800,4001.982333
-96.0,4800,4084.778374
-91.92,4800,4161.937699
-96.0,4800,4246.899718
-96.0,4800,4324.26213
-96.0,4800,4411.545161
-96.0,4800,4487.256102
-94.98,4800,4569.609471
-96.0,4800,4650.578597
-93.96,4800,4725.396521
-96.0,4800,4807.559236
-66.42,4800,4887.387756
-94.98,4800,4968.964228
-94.98,4800,5043.278264
-94.98,4800,5116.746884
-96.0,4800,5191.841671
-96.0,4800,5271.184713
-92.94,4800,5348.811361
-96.0,4800,5431.187466
-96.0,4800,5506.021377
-96.0,4800,5578.011154
-67.44,4800,5656.379785
-96.0,4800,5730.759308
-96.0,4800,5804.923064
-94.98,4800,5879.303539
-96.0,4800,5953.297223
-92.94,4800,6027.423584
-94.98,4800,6099.6215
-96.0,4800,6178.241837
-96.0,4800,6254.435356
-96.0,4800,6331.493795
-96.0,4800,6410.005241
-96.0,4800,6482.244884
-94.98,4800,6556.804441
-93.96,4800,6629.094402
-93.96,4800,6703.106649
-94.98,4800,6773.732711
-96.0,4800,6847.703945
-96.0,4800,6916.874498
-96.0,4800,6988.627596
-91.92,4800,7061.815408
-96.0,4800,7136.52061
-93.96,4800,7213.969306
-88.86,4800,7291.498027
-94.98,4800,7358.994272
-96.0,4800,7429.059712
-96.0,4800,7498.911494
-96.0,4800,7571.115208
-96.0,4800,7654.51369
-96.0,4800,7724.168957
-96.0,4800,7799.107212
-96.0,4800,7866.820473
-92.94,4800,7935.549154
-92.94,4800,8006.101358
-96.0,4800,8078.584684
-96.0,4800,8151.957537
-96.0,4800,8220.955885
-96.0,4800,8290.122411
-93.96,4800,8361.38552
-96.0,4800,8434.405812
-94.98,4800,8509.366149
-96.0,4800,8582.247563
-96.0,4800,8659.435502
-96.0,4800,8724.673922
-94.98,4800,8795.220826
-96.0,4800,8869.638173
-96.0,4800,8942.75113
-94.98,4800,9011.414627
-94.98,4800,9084.988715
-96.0,4800,9154.256023
-90.9,4800,9225.018173
-92.94,4800,9303.955168
-96.0,4800,9376.572494
-96.0,4800,9451.984989
-96.0,4800,9527.877822
-92.94,4800,9602.517146
-94.98,4800,9673.953442
-96.0,4800,9745.939083
-96.0,4800,9817.620096
-96.0,4800,9887.225845
-96.0,4800,9959.812262
-96.0,4800,10033.143718
-96.0,4800,10108.550903
-96.0,4800,10173.296319
-88.86,4800,10244.057166
-96.0,4800,10313.208144
-96.0,4800,10387.15461
-94.98,4800,10459.969947
-96.0,4800,10544.48456
-94.98,4800,10619.252343
-96.0,4800,10693.604552
-96.0,4800,10767.347172
-96.0,4800,10842.101059
-96.0,4800,10925.339025
-94.98,4800,11006.005938
-96.0,4800,11085.415743
-92.94,4800,11167.750721
-96.0,4800,11245.99991
-96.0,4800,11326.935606
-87.84,4800,11405.00633
-96.0,4800,11480.06964
-96.0,4800,11557.703459
-96.0,4800,11628.70756
-96.0,4800,11709.783867
-96.0,4800,11791.588849
-96.0,4800,11876.180837
-96.0,4800,11950.997445
-96.0,4800,12027.243257
-94.98,4800,12099.693984
-96.0,4800,12175.213351
-96.0,4800,12252.642661
-84.78,4800,12329.928667
-96.0,4800,12409.477071
-96.0,4800,12478.873359
-94.98,4800,12555.522929
-94.98,4800,12632.548207
-96.0,4800,12706.979904
-91.92,4800,12784.137218
-96.0,4800,12855.544366
-96.0,4800,12925.659268
-96.0,4800,13005.237043
-94.98,4800,13082.275577
-90.9,4800,13158.181642
-96.0,4800,13235.72142
-94.98,4800,13308.632639
-96.0,4800,13386.408836
-96.0,4800,13462.451414
-96.0,4800,13540.576436
-96.0,4800,13613.794597
-34.8,4800,13687.505033
-66.42,4800,13763.954593
-93.96,4800,13840.79158
-96.0,4800,13920.810591
-93.96,4800,13996.871081
-96.0,4800,14075.822924
-94.98,4800,14143.688905
-96.0,4800,14213.701392
-94.98,4800,14285.181252
-84.78,4800,14360.261595
-93.96,4800,14439.783307
-96.0,4800,14509.855044
-96.0,4800,14580.642095
-96.0,4800,14651.806373
-69.48,4800,14726.943749
-96.0,4800,14801.657763
-94.98,4800,14879.209887
-96.0,4800,14954.674035
-96.0,4800,15027.142094
-96.0,4800,15096.618958
