[2021-05-19 20:52:42.391049] epoch is: 0, eval success rate is: 0.038, std is: 0.048
[2021-05-19 20:56:42.101958] epoch is: 1, eval success rate is: 0.038, std is: 0.070
[2021-05-19 21:00:39.650778] epoch is: 2, eval success rate is: 0.025, std is: 0.043
[2021-05-19 21:04:35.835281] epoch is: 3, eval success rate is: 0.025, std is: 0.043
[2021-05-19 21:08:31.740657] epoch is: 4, eval success rate is: 0.038, std is: 0.048
[2021-05-19 21:12:27.962093] epoch is: 5, eval success rate is: 0.025, std is: 0.043
[2021-05-19 21:16:21.557324] epoch is: 6, eval success rate is: 0.013, std is: 0.033
[2021-05-19 21:20:17.666578] epoch is: 7, eval success rate is: 0.038, std is: 0.048
[2021-05-19 21:24:10.589341] epoch is: 8, eval success rate is: 0.038, std is: 0.048
[2021-05-19 21:28:04.230380] epoch is: 9, eval success rate is: 0.038, std is: 0.048
[2021-05-19 21:32:00.392474] epoch is: 10, eval success rate is: 0.038, std is: 0.048
[2021-05-19 21:35:54.600729] epoch is: 11, eval success rate is: 0.050, std is: 0.071
[2021-05-19 21:39:55.149121] epoch is: 12, eval success rate is: 0.075, std is: 0.083
[2021-05-19 21:43:49.561436] epoch is: 13, eval success rate is: 0.025, std is: 0.043
[2021-05-19 21:47:51.671912] epoch is: 14, eval success rate is: 0.062, std is: 0.070
[2021-05-19 21:51:48.009507] epoch is: 15, eval success rate is: 0.075, std is: 0.043
[2021-05-19 21:55:47.782363] epoch is: 16, eval success rate is: 0.125, std is: 0.097
[2021-05-19 21:59:46.055065] epoch is: 17, eval success rate is: 0.175, std is: 0.109
[2021-05-19 22:03:44.721225] epoch is: 18, eval success rate is: 0.238, std is: 0.086
[2021-05-19 22:07:43.694654] epoch is: 19, eval success rate is: 0.175, std is: 0.097
[2021-05-19 22:11:40.183936] epoch is: 20, eval success rate is: 0.250, std is: 0.100
[2021-05-19 22:15:45.437381] epoch is: 21, eval success rate is: 0.338, std is: 0.187
[2021-05-19 22:19:37.329512] epoch is: 22, eval success rate is: 0.363, std is: 0.111
[2021-05-19 22:23:26.641725] epoch is: 23, eval success rate is: 0.400, std is: 0.100
[2021-05-19 22:27:16.892365] epoch is: 24, eval success rate is: 0.450, std is: 0.180
[2021-05-19 22:31:12.712958] epoch is: 25, eval success rate is: 0.425, std is: 0.156
[2021-05-19 22:35:03.366616] epoch is: 26, eval success rate is: 0.350, std is: 0.166
[2021-05-19 22:38:57.734873] epoch is: 27, eval success rate is: 0.425, std is: 0.156
[2021-05-19 22:42:46.780952] epoch is: 28, eval success rate is: 0.488, std is: 0.162
[2021-05-19 22:46:45.895301] epoch is: 29, eval success rate is: 0.475, std is: 0.139
[2021-05-19 22:50:40.295156] epoch is: 30, eval success rate is: 0.512, std is: 0.176
[2021-05-19 22:54:33.222287] epoch is: 31, eval success rate is: 0.450, std is: 0.245
[2021-05-19 22:58:25.239465] epoch is: 32, eval success rate is: 0.475, std is: 0.130
[2021-05-19 23:02:21.049896] epoch is: 33, eval success rate is: 0.387, std is: 0.162
[2021-05-19 23:06:13.145680] epoch is: 34, eval success rate is: 0.500, std is: 0.141
[2021-05-19 23:10:07.708434] epoch is: 35, eval success rate is: 0.475, std is: 0.139
[2021-05-19 23:14:03.278778] epoch is: 36, eval success rate is: 0.600, std is: 0.158
[2021-05-19 23:18:00.006037] epoch is: 37, eval success rate is: 0.400, std is: 0.122
[2021-05-19 23:21:55.063811] epoch is: 38, eval success rate is: 0.450, std is: 0.166
[2021-05-19 23:25:51.480721] epoch is: 39, eval success rate is: 0.463, std is: 0.122
[2021-05-19 23:29:51.407811] epoch is: 40, eval success rate is: 0.450, std is: 0.087
[2021-05-19 23:33:48.210079] epoch is: 41, eval success rate is: 0.512, std is: 0.117
[2021-05-19 23:37:49.282129] epoch is: 42, eval success rate is: 0.425, std is: 0.109
[2021-05-19 23:41:45.545774] epoch is: 43, eval success rate is: 0.425, std is: 0.120
[2021-05-19 23:45:47.667063] epoch is: 44, eval success rate is: 0.500, std is: 0.141
[2021-05-19 23:49:46.353649] epoch is: 45, eval success rate is: 0.587, std is: 0.117
[2021-05-19 23:53:46.686279] epoch is: 46, eval success rate is: 0.512, std is: 0.117
[2021-05-19 23:57:43.676940] epoch is: 47, eval success rate is: 0.587, std is: 0.093
[2021-05-20 00:01:42.434743] epoch is: 48, eval success rate is: 0.750, std is: 0.100
[2021-05-20 00:05:42.480908] epoch is: 49, eval success rate is: 0.738, std is: 0.180
[2021-05-20 00:09:47.162357] epoch is: 50, eval success rate is: 0.887, std is: 0.117
[2021-05-20 00:13:51.884105] epoch is: 51, eval success rate is: 0.950, std is: 0.050
[2021-05-20 00:17:27.788906] epoch is: 52, eval success rate is: 0.900, std is: 0.071
[2021-05-20 00:21:03.057567] epoch is: 53, eval success rate is: 0.962, std is: 0.048
[2021-05-20 00:24:37.929362] epoch is: 54, eval success rate is: 0.863, std is: 0.122
[2021-05-20 00:28:16.039516] epoch is: 55, eval success rate is: 0.962, std is: 0.048
[2021-05-20 00:31:54.944911] epoch is: 56, eval success rate is: 1.000, std is: 0.000
[2021-05-20 00:35:32.385723] epoch is: 57, eval success rate is: 0.962, std is: 0.048
[2021-05-20 00:39:11.349548] epoch is: 58, eval success rate is: 0.988, std is: 0.033
[2021-05-20 00:42:53.079004] epoch is: 59, eval success rate is: 0.988, std is: 0.033
[2021-05-20 00:46:35.314885] epoch is: 60, eval success rate is: 1.000, std is: 0.000
[2021-05-20 00:50:11.522415] epoch is: 61, eval success rate is: 1.000, std is: 0.000
[2021-05-20 00:53:48.595652] epoch is: 62, eval success rate is: 0.975, std is: 0.043
[2021-05-20 00:57:24.079064] epoch is: 63, eval success rate is: 0.988, std is: 0.033
[2021-05-20 01:01:01.010020] epoch is: 64, eval success rate is: 1.000, std is: 0.000
[2021-05-20 01:04:37.507602] epoch is: 65, eval success rate is: 1.000, std is: 0.000
[2021-05-20 01:08:16.621058] epoch is: 66, eval success rate is: 1.000, std is: 0.000
[2021-05-20 01:11:53.198747] epoch is: 67, eval success rate is: 0.988, std is: 0.033
[2021-05-20 01:15:32.054093] epoch is: 68, eval success rate is: 0.988, std is: 0.033
[2021-05-20 01:19:10.413591] epoch is: 69, eval success rate is: 1.000, std is: 0.000
[2021-05-20 01:22:47.603872] epoch is: 70, eval success rate is: 0.975, std is: 0.043
[2021-05-20 01:26:25.391376] epoch is: 71, eval success rate is: 0.988, std is: 0.033
[2021-05-20 01:30:04.522170] epoch is: 72, eval success rate is: 0.975, std is: 0.043
[2021-05-20 01:33:41.512997] epoch is: 73, eval success rate is: 0.988, std is: 0.033
[2021-05-20 01:37:24.467499] epoch is: 74, eval success rate is: 0.988, std is: 0.033
[2021-05-20 01:41:01.805305] epoch is: 75, eval success rate is: 1.000, std is: 0.000
[2021-05-20 01:44:46.720122] epoch is: 76, eval success rate is: 0.988, std is: 0.033
[2021-05-20 01:48:29.680356] epoch is: 77, eval success rate is: 1.000, std is: 0.000
[2021-05-20 01:52:08.166979] epoch is: 78, eval success rate is: 0.988, std is: 0.033
