[2021-12-10 18:56:47.643665] epoch is: 0, eval success rate is: 0.000, std is: 0.000
[2021-12-10 18:57:38.004926] epoch is: 1, eval success rate is: 0.000, std is: 0.000
[2021-12-10 18:58:13.956924] epoch is: 2, eval success rate is: 0.000, std is: 0.000
[2021-12-10 18:58:56.729519] epoch is: 3, eval success rate is: 0.000, std is: 0.000
[2021-12-10 18:59:39.014584] epoch is: 4, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:00:20.771538] epoch is: 5, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:00:56.824048] epoch is: 6, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:01:33.078132] epoch is: 7, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:02:12.142142] epoch is: 8, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:02:48.599098] epoch is: 9, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:03:24.962252] epoch is: 10, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:04:05.234332] epoch is: 11, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:05:06.890026] epoch is: 12, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:05:43.920384] epoch is: 13, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:06:20.029046] epoch is: 14, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:07:06.652619] epoch is: 15, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:07:45.296861] epoch is: 16, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:08:22.100846] epoch is: 17, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:09:09.427986] epoch is: 18, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:09:46.743801] epoch is: 19, eval success rate is: 0.025, std is: 0.043
[2021-12-10 19:10:31.864357] epoch is: 20, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:11:13.697263] epoch is: 21, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:11:55.689745] epoch is: 22, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:12:39.564169] epoch is: 23, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:13:27.425410] epoch is: 24, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:14:35.666051] epoch is: 25, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:15:13.959518] epoch is: 26, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:15:57.520062] epoch is: 27, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:16:37.116681] epoch is: 28, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:17:15.799227] epoch is: 29, eval success rate is: 0.000, std is: 0.000
[2021-12-10 19:18:06.897566] epoch is: 30, eval success rate is: 0.000, std is: 0.000
