[2021-09-19 17:20:40.900915] epoch is: 0, eval success rate is: 0.000, std is: 0.000
[2021-09-19 17:21:20.249232] epoch is: 1, eval success rate is: 0.000, std is: 0.000
[2021-09-19 17:21:59.851628] epoch is: 2, eval success rate is: 0.000, std is: 0.000
[2021-09-19 17:22:39.148713] epoch is: 3, eval success rate is: 0.000, std is: 0.000
[2021-09-19 17:23:18.528394] epoch is: 4, eval success rate is: 0.000, std is: 0.000
[2021-09-19 17:23:57.892328] epoch is: 5, eval success rate is: 0.000, std is: 0.000
[2021-09-19 17:24:37.600481] epoch is: 6, eval success rate is: 0.100, std is: 0.000
[2021-09-19 17:25:17.570567] epoch is: 7, eval success rate is: 0.100, std is: 0.000
[2021-09-19 17:25:57.165831] epoch is: 8, eval success rate is: 0.100, std is: 0.000
[2021-09-19 17:26:36.703835] epoch is: 9, eval success rate is: 0.100, std is: 0.000
[2021-09-19 17:27:16.901170] epoch is: 10, eval success rate is: 0.000, std is: 0.000
[2021-09-19 17:27:56.611845] epoch is: 11, eval success rate is: 0.300, std is: 0.000
[2021-09-19 17:28:35.993360] epoch is: 12, eval success rate is: 0.100, std is: 0.000
[2021-09-19 17:29:16.029440] epoch is: 13, eval success rate is: 0.300, std is: 0.000
[2021-09-19 17:29:56.043367] epoch is: 14, eval success rate is: 0.400, std is: 0.000
[2021-09-19 17:30:35.846727] epoch is: 15, eval success rate is: 0.100, std is: 0.000
[2021-09-19 17:31:16.584387] epoch is: 16, eval success rate is: 0.200, std is: 0.000
[2021-09-19 17:32:01.309101] epoch is: 17, eval success rate is: 0.200, std is: 0.000
[2021-09-19 17:32:44.780373] epoch is: 18, eval success rate is: 0.400, std is: 0.000
[2021-09-19 17:33:31.396117] epoch is: 19, eval success rate is: 0.500, std is: 0.000
[2021-09-19 17:34:16.619464] epoch is: 20, eval success rate is: 0.700, std is: 0.000
[2021-09-19 17:35:01.388839] epoch is: 21, eval success rate is: 0.300, std is: 0.000
[2021-09-19 17:35:44.769684] epoch is: 22, eval success rate is: 0.400, std is: 0.000
[2021-09-19 17:36:28.709491] epoch is: 23, eval success rate is: 0.400, std is: 0.000
[2021-09-19 17:37:12.399266] epoch is: 24, eval success rate is: 0.500, std is: 0.000
[2021-09-19 17:37:56.694112] epoch is: 25, eval success rate is: 0.600, std is: 0.000
[2021-09-19 17:38:41.297575] epoch is: 26, eval success rate is: 0.700, std is: 0.000
[2021-09-19 17:39:26.516986] epoch is: 27, eval success rate is: 0.300, std is: 0.000
[2021-09-19 17:40:13.246088] epoch is: 28, eval success rate is: 0.700, std is: 0.000
[2021-09-19 17:41:01.063268] epoch is: 29, eval success rate is: 0.600, std is: 0.000
[2021-09-19 17:41:50.233433] epoch is: 30, eval success rate is: 0.700, std is: 0.000
[2021-09-19 17:42:41.498613] epoch is: 31, eval success rate is: 0.700, std is: 0.000
[2021-09-19 17:43:38.593499] epoch is: 32, eval success rate is: 0.500, std is: 0.000
[2021-09-19 17:44:49.719622] epoch is: 33, eval success rate is: 0.400, std is: 0.000
[2021-09-19 17:46:04.576792] epoch is: 34, eval success rate is: 0.600, std is: 0.000
[2021-09-19 17:46:59.982865] epoch is: 35, eval success rate is: 0.500, std is: 0.000
[2021-09-19 17:47:54.337446] epoch is: 36, eval success rate is: 0.900, std is: 0.000
[2021-09-19 17:48:49.361396] epoch is: 37, eval success rate is: 0.700, std is: 0.000
[2021-09-19 17:49:44.813394] epoch is: 38, eval success rate is: 0.500, std is: 0.000
[2021-09-19 17:50:40.648915] epoch is: 39, eval success rate is: 0.800, std is: 0.000
