[2021-12-10 18:15:12.877787] epoch is: 0, eval success rate is: 0.050, std is: 0.050
[2021-12-10 18:15:43.253327] epoch is: 1, eval success rate is: 0.275, std is: 0.083
[2021-12-10 18:16:15.656270] epoch is: 2, eval success rate is: 0.375, std is: 0.083
[2021-12-10 18:16:47.834820] epoch is: 3, eval success rate is: 0.350, std is: 0.087
[2021-12-10 18:17:22.487370] epoch is: 4, eval success rate is: 0.350, std is: 0.087
[2021-12-10 18:17:56.947805] epoch is: 5, eval success rate is: 0.325, std is: 0.192
[2021-12-10 18:18:30.112518] epoch is: 6, eval success rate is: 0.400, std is: 0.100
[2021-12-10 18:19:06.182921] epoch is: 7, eval success rate is: 0.325, std is: 0.109
[2021-12-10 18:19:37.075935] epoch is: 8, eval success rate is: 0.550, std is: 0.150
[2021-12-10 18:20:09.480857] epoch is: 9, eval success rate is: 0.475, std is: 0.083
[2021-12-10 18:20:42.551320] epoch is: 10, eval success rate is: 0.750, std is: 0.150
[2021-12-10 18:21:15.362528] epoch is: 11, eval success rate is: 0.900, std is: 0.122
[2021-12-10 18:21:46.532280] epoch is: 12, eval success rate is: 0.850, std is: 0.087
[2021-12-10 18:22:17.298248] epoch is: 13, eval success rate is: 0.975, std is: 0.043
[2021-12-10 18:22:51.841466] epoch is: 14, eval success rate is: 1.000, std is: 0.000
[2021-12-10 18:23:22.522912] epoch is: 15, eval success rate is: 0.925, std is: 0.083
[2021-12-10 18:23:57.227712] epoch is: 16, eval success rate is: 1.000, std is: 0.000
[2021-12-10 18:24:27.965297] epoch is: 17, eval success rate is: 0.975, std is: 0.043
[2021-12-10 18:25:00.864469] epoch is: 18, eval success rate is: 1.000, std is: 0.000
[2021-12-10 18:25:33.198165] epoch is: 19, eval success rate is: 1.000, std is: 0.000
[2021-12-10 18:26:05.142687] epoch is: 20, eval success rate is: 1.000, std is: 0.000
[2021-12-10 18:26:36.048622] epoch is: 21, eval success rate is: 1.000, std is: 0.000
[2021-12-10 18:27:07.482475] epoch is: 22, eval success rate is: 1.000, std is: 0.000
[2021-12-10 18:27:38.476170] epoch is: 23, eval success rate is: 1.000, std is: 0.000
[2021-12-10 18:28:09.390689] epoch is: 24, eval success rate is: 1.000, std is: 0.000
[2021-12-10 18:28:45.516980] epoch is: 25, eval success rate is: 1.000, std is: 0.000
[2021-12-10 18:29:18.032344] epoch is: 26, eval success rate is: 1.000, std is: 0.000
[2021-12-10 18:29:48.798567] epoch is: 27, eval success rate is: 1.000, std is: 0.000
